EAST,north,DZ
1753827.876,5920807.597,6.3568
1753828.384,5920808.124,5.972459244
1753828.892,5920808.65,5.355235864
1753829.4,5920809.177,4.679746947
1753829.908,5920809.703,3.966952066
1753830.417,5920810.23,3.229381116
1753830.925,5920810.756,2.474734983
1753831.433,5920811.283,1.707916669
1753831.941,5920811.809,0.960412494
1753832.449,5920812.335,0.78459926
1753832.957,5920812.862,0.607620043
1753827.896,5920807.628,6.3568
1753828.53,5920808.084,5.810697488
1753829.163,5920808.54,5.072835326
1753829.796,5920808.997,4.294634486
1753830.43,5920809.453,3.491518178
1753831.063,5920809.909,2.672158725
1753831.697,5920810.365,1.841707511
1753832.33,5920810.821,1.003382195
1753832.963,5920811.278,0.786759486
1753833.597,5920811.734,0.596126161
1753834.23,5920812.19,0.404738612
1753827.895,5920807.612,6.3568
1753828.604,5920807.879,5.722660163
1753829.314,5920808.147,4.935796332
1753830.023,5920808.414,4.131409446
1753830.733,5920808.681,3.316236174
1753831.443,5920808.949,2.493992968
1753832.152,5920809.216,1.66688067
1753832.862,5920809.483,0.938869708
1753833.571,5920809.751,0.751666919
1753834.281,5920810.018,0.564023103
1753834.991,5920810.285,0.3760364
1753827.847,5920807.628,6.3568
1753828.119,5920807.478,6.206285374
1753828.391,5920807.329,5.875141438
1753828.663,5920807.179,5.541490748
1753828.935,5920807.03,5.205905615
1753829.207,5920806.88,4.868798538
1753829.479,5920806.731,4.530473729
1753829.751,5920806.581,4.191160122
1753830.023,5920806.432,3.851033104
1753830.295,5920806.282,3.510229196
1753830.567,5920806.132,3.168856176
1753811.86,5920786.61,0.023092343
1753813.86,5920786.61,0.203294179
1753815.86,5920786.61,0.298301478
1753817.86,5920786.61,0.298782807
1753819.86,5920786.61,0.204687631
1753821.86,5920786.61,0.025269839
1753809.86,5920788.61,0.177681951
1753811.86,5920788.61,0.464337162
1753813.86,5920788.61,0.679982226
1753815.86,5920788.61,0.79635235
1753817.86,5920788.61,0.796947361
1753819.86,5920788.61,0.681674331
1753821.86,5920788.61,0.466908603
1753823.86,5920788.61,0.176034183
1753807.86,5920790.61,0.281651022
1753809.86,5920790.61,0.580074191
1753811.86,5920790.61,0.878497359
1753813.86,5920790.61,1.745453865
1753815.86,5920790.61,2.410587716
1753817.86,5920790.61,2.414050964
1753819.86,5920790.61,1.754966127
1753821.86,5920790.61,0.880734973
1753823.86,5920790.61,0.538452651
1753825.86,5920790.61,0.148088445
1753803.86,5920792.61,0.087196924
1753805.86,5920792.61,0.385620093
1753807.86,5920792.61,0.684043261
1753809.86,5920792.61,1.030315318
1753811.86,5920792.61,2.358507298
1753813.86,5920792.61,3.683308394
1753815.86,5920792.61,4.600412194
1753817.86,5920792.61,4.605396723
1753819.86,5920792.61,3.695947362
1753821.86,5920792.61,2.202399107
1753823.86,5920792.61,0.84917551
1753825.86,5920792.61,0.447571401
1753827.86,5920792.61,0.045967292
1753801.86,5920794.61,0.191165995
1753803.86,5920794.61,0.489589163
1753805.86,5920794.61,0.788012332
1753807.86,5920794.61,1.493050455
1753809.86,5920794.61,2.821242435
1753811.86,5920794.61,4.149434415
1753813.86,5920794.61,5.477626395
1753815.86,5920794.61,6.3568
1753817.86,5920794.61,6.3568
1753819.86,5920794.61,5.343227876
1753821.86,5920794.61,3.557405594
1753823.86,5920794.61,1.769986207
